roberta_neg_Exp,roberta_neu_Exp,roberta_pos_Exp,roberta_neg_OSF,roberta_neu_OSF,roberta_pos_OSF,Satis_Bloque,Satis_ODS,Satis_Aporte,Satis_Interaccion,Satis_Herramientas,Satis_Exp,Satis_Liderazgo_OSF,Satis_IT,Retro_OSF,Causa_Interesante,Opp_Egoismo,Nvl_Responsabilidad,Respeto_Diversidad,Promover_Soluciones,OSF_encoded
0.0020058255,0.026163915,0.9718303,0.001414069,0.010425155,0.98816085,5,5,5,5,5,3,4,4,1,1,5,5,5,5,78
0.0024436784,0.03270101,0.96485525,0.0024649773,0.016591854,0.98094314,5,5,4,4,2,3,4,5,1,1,5,5,5,4,150
0.0053991606,0.14251858,0.8520822,0.0037246933,0.18734148,0.8089338,4,4,5,2,3,3,4,3,1,1,3,5,4,5,178
0.20817839,0.5498161,0.24200551,0.0015691697,0.011265239,0.9871656,5,5,5,5,5,3,5,5,1,1,5,5,5,5,150
0.0010738141,0.012030419,0.98689574,0.002763164,0.043164868,0.95407194,5,4,4,5,4,3,5,4,1,1,5,5,5,5,150
0.0013069226,0.009065987,0.9896271,0.0011685247,0.015702942,0.98312855,5,5,4,5,5,3,4,4,1,1,3,4,5,5,150
0.11940491,0.7775205,0.10307464,0.014580877,0.6827672,0.3026519,4,3,3,3,5,1,2,5,1,1,5,2,3,4,150
0.0016369038,0.008467661,0.98989546,0.002012974,0.03869387,0.9592931,5,5,5,5,5,3,5,5,1,1,5,5,5,5,30
0.042455617,0.66865695,0.28888747,0.023916584,0.2127504,0.763333,4,5,5,5,5,3,5,5,1,1,4,5,5,5,254
0.060423065,0.6493552,0.29022178,0.0016866527,0.029422129,0.96889126,5,5,4,5,5,3,5,5,1,1,4,4,5,3,116
0.0015874703,0.017176235,0.98123634,0.0018119919,0.014706637,0.98348135,5,4,4,5,4,3,5,4,1,1,3,5,4,4,108
0.0019065883,0.023038909,0.97505444,0.0024348984,0.03898432,0.95858085,5,5,5,5,4,3,5,4,1,1,4,5,5,4,184
0.0014586527,0.017959815,0.9805815,0.0010450437,0.010951687,0.98800325,5,5,5,4,4,2,4,4,1,1,5,5,5,5,179
0.008928559,0.16275285,0.82831854,0.0015834671,0.016613564,0.98180294,5,5,5,5,4,3,5,5,1,1,5,5,5,5,143
0.25829428,0.45127246,0.29043326,0.2582943,0.4512724,0.29043332,4,4,4,4,5,2,4,3,1,1,5,5,4,5,30
0.034954216,0.1963612,0.76868457,0.0019696036,0.0070697903,0.99096054,5,5,5,5,5,3,5,5,1,1,5,5,5,5,66
0.0047999127,0.099283986,0.89591616,0.0011348322,0.017017495,0.98184764,5,5,5,5,5,3,3,5,1,1,5,5,5,5,179
